4,2010,3,1708,10,9,29,1106,553,1708,1
5,2001,1,888,0,15,198,562,112,888,1
5,2001,2,8,0,2,5,1,0,8,0
5,2001,3,880,0,13,193,561,112,880,1
5,2002,1,1040,0,2,2,805,231,1040,0
5,2002,2,3,0,0,1,2,0,3,0
5,2002,3,1037,0,2,1,803,231,1037,0
5,2003,1,985,0,1,1,686,296,985,1
5,2003,2,1,0,0,1,0,0,1,0
5,2003,3,984,0,1,0,686,296,984,1
5,2004,1,1390,6,3,0,1018,363,1390,0
5,2004,2,6,0,0,0,5,1,6,0
5,2004,3,1384,6,3,0,1013,362,1384,0
5,2005,1,1147,0,6,2,872,267,1147,0
5,2005,2,10,0,0,0,8,2,10,0
5,2005,3,1137,0,6,2,864,265,1137,0
5,2006,1,1232,9,0,17,956,250,1232,0
5,2006,2,7,0,0,2,3,2,7,0
5,2006,3,1225,9,0,15,953,248,1225,0
5,2007,1,1555,0,28,79,1186,253,1555,9
5,2007,2,2,0,2,0,0,0,2,0
5,2007,3,1553,0,26,79,1186,253,1553,9
5,2008,1,1302,24,11,80,1028,159,1302,0
5,2008,2,3,0,0,0,1,2,3,0
5,2008,3,1299,24,11,80,1027,157,1299,0
5,2009,1,929,0,19,32,765,101,929,12
5,2009,2,1,0,0,0,1,0,1,0
5,2009,3,928,0,19,32,764,101,928,12
5,2010,1,795,0,17,89,616,65,795,8
5,2010,2,2,0,1,0,0,0,2,1
5,2010,3,793,0,16,89,616,65,793,7
6,2001,1,18,0,8,4,4,3,19,0
6,2001,2,2,0,0,0,2,0,2,0
6,2001,3,16,0,8,4,2,3,17,0
6,2002,1,18,0,4,1,9,3,18,1
6,2002,2,2,0,0,1,1,0,2,0
6,2002,3,16,0,4,0,8,3,16,1
6,2003,1,18,0,1,5,7,2,18,3
6,2003,2,1,0,0,0,0,0,1,1
6,2003,3,17,0,1,5,7,2,17,2
6,2004,1,19,0,5,3,5,1,19,5
6,2004,2,1,0,1,0,0,0,1,0
6,2004,3,18,0,4,3,5,1,18,5
6,2005,1,33,0,4,10,5,7,33,7
6,2005,2,1,0,0,1,0,0,1,0
6,2005,3,32,0,4,9,5,7,32,7
6,2006,1,19,0,2,6,4,4,19,3
6,2006,2,5,0,1,2,1,0,5,1
6,2006,3,14,0,1,4,3,4,14,2
6,2007,1,22,0,3,2,11,3,22,3
6,2007,2,2,0,1,0,0,0,2,1
6,2007,3,20,0,2,2,11,3,20,2
6,2008,1,20,0,3,7,7,1,20,2
6,2008,2,3,0,0,2,1,0,3,0
6,2008,3,17,0,3,5,6,1,17,2
6,2009,1,29,0,8,10,8,0,29,3
6,2009,2,0,0,0,0,0,0,0,0
6,2009,3,29,0,8,10,8,0,29,3
